0;65536;1.002652
1;65536;0.989024
3;65536;0.999097
4;65536;1.020401
5;65536;0.999673
11;65536;0.999099
13;65536;0.999674
15;65536;0.989258
19;65536;0.999111
21;65536;0.999660
27;65536;0.999097
29;65536;0.999660
31;65536;0.989253
16;65536;1.002656
25;65536;0.998786
7;65536;1.000305
9;65536;0.998789
12;65536;1.002913
17;65536;0.989725
20;65536;1.002500
23;65536;0.999098
28;65536;1.002899
2;65536;1.002114
6;65536;1.002495
10;65536;1.002122
18;65536;1.002113
22;65536;1.012120
26;65536;1.002121
8;65536;1.002914
24;65536;1.002903
30;65536;1.010536
14;65536;1.010545
