0;134217728;20.408192
9;134217728;20.408178
1;134217728;20.408180
3;134217728;20.408204
5;134217728;20.408190
6;134217728;20.408189
7;134217728;20.408185
8;134217728;20.408189
10;134217728;20.408206
12;134217728;20.408186
13;134217728;20.408183
15;134217728;20.408179
17;134217728;20.408171
18;134217728;20.408216
20;134217728;20.408208
21;134217728;20.408189
22;134217728;20.408199
23;134217728;20.408195
24;134217728;20.408196
25;134217728;20.408190
26;134217728;20.408215
27;134217728;20.408197
28;134217728;20.408190
29;134217728;20.408187
30;134217728;20.408188
31;134217728;20.408190
2;134217728;20.408203
4;134217728;20.408205
11;134217728;20.408185
14;134217728;20.408184
16;134217728;20.408177
19;134217728;20.408202
