0;8388608;6.330120
1;8388608;6.319969
2;8388608;6.339979
3;8388608;6.328222
5;8388608;6.327779
8;8388608;6.309986
10;8388608;6.368349
11;8388608;6.328232
16;8388608;6.319345
17;8388608;6.329260
19;8388608;6.328218
21;8388608;6.327770
24;8388608;6.319187
27;8388608;6.328222
7;8388608;6.328143
9;8388608;6.320923
15;8388608;6.328132
23;8388608;6.328142
25;8388608;6.320569
22;8388608;6.320139
4;8388608;6.335049
6;8388608;6.310145
13;8388608;6.329992
14;8388608;6.330166
18;8388608;6.353753
20;8388608;6.330010
26;8388608;6.368349
29;8388608;6.329205
31;8388608;6.328137
30;8388608;6.323605
28;8388608;6.319353
12;8388608;6.319352
