0;256;1.045465
3;256;1.037136
4;256;1.045461
5;256;1.037133
7;256;1.042908
11;256;1.042843
12;256;1.088745
13;256;1.039869
15;256;1.044681
19;256;1.037130
20;256;1.044447
23;256;1.041279
28;256;1.080402
1;256;1.050054
17;256;1.025680
31;256;1.041285
16;256;1.045468
27;256;1.040159
2;256;1.052327
6;256;1.038143
8;256;1.045469
10;256;1.045461
14;256;1.033668
18;256;1.044286
21;256;1.037120
22;256;1.038146
24;256;1.045467
26;256;1.045457
29;256;1.039874
30;256;1.045469
25;256;1.037113
9;256;1.042021
