32;1.3e-05;3.8e-05;7.1e-05;0.000182;1.027182;1.410322
64;2.5e-05;6.8e-05;8.6e-05;0.00023;0.485416;0.659898
128;5.2e-05;6e-05;9.8e-05;0.000231;0.139441;0.970914
256;0.000104;8.8e-05;0.000166;0.000282;1.436614;0.907331
512;0.000213;0.000191;0.000196;0.000303;0.411551;0.000836
1024;0.000443;0.000329;0.000415;0.000426;1.627877;0.908601
2048;0.000941;0.000628;0.000597;0.000707;0.340479;0.678109
4096;0.002039;0.001371;0.001019;0.001451;0.351982;0.515883
8192;0.004113;0.002473;0.001935;0.002016;0.003459;0.688444
16384;0.008715;0.005299;0.004111;0.004701;0.075768;1.056327
32768;0.017103;0.010987;0.008842;0.007784;1.324377;0.666251
65536;0.037361;0.021733;0.018093;0.015664;0.26756;1.102386
131072;0.076327;0.045933;0.034589;0.037706;0.909934;1.095151
262144;0.157388;0.093533;0.077511;0.091874;0.636082;1.010678
524288;0.332372;0.193155;0.182134;0.133153;1.412633;1.351025
1048576;0.674735;0.41106;0.305984;0.268617;2.989451;2.509443
2097152;1.373492;0.932973;0.74016;2.96458;2.465379;2.799996
4194304;2.815789;2.00573;1.817892;3.9583;4.046397;3.98124
8388608;6.314726;3.977913;3.272516;6.619277;7.293764;2.489231
16777216;21.775655;13.36554;17.121067;9.970654;8.259846;6.949054
33554432;24.065081;24.060519;24.072573;18.522528;17.071361;9.614347
67108864;35.197288;35.106103;35.183696;35.106104;20.463554;20.028551
134217728;52.331999;52.278449;52.287791;52.291484;52.360868;19.988145
