32;0,0000136;0,0000332;0,0000828;0,0002202;0,5248094;1,6628236
64;0,0000254;0,0000532;0,0001090;0,0011152;0,5344222;1,5605942
128;0,0000568;0,0000762;0,0005792;0,0002322;0,4657420;1,8127266
256;0,0001036;0,0001140;0,0001662;0,0132776;0,7055798;1,0600248
512;0,0002138;0,0002498;0,0002294;0,0003504;0,5978856;1,1190554
1024;0,0004698;0,0004076;0,0004588;0,0110986;0,5789932;1,1859066
2048;0,0009582;0,0008016;0,0007842;0,0008392;0,3631716;1,0605366
4096;0,0021998;0,0016450;0,0013600;0,0224238;0,5908822;0,8793438
8192;0,0040650;0,0028582;0,0028682;0,0023814;0,5111860;0,9562852
16384;0,0099154;0,0064710;0,0054276;0,0061496;0,6738264;0,8905568
32768;0,0177006;0,0124162;0,0141524;0,0088718;0,7282310;0,7361514
65536;0,0391398;0,0252208;0,0212426;0,0175612;0,5272336;1,2572888
131072;0,0798842;0,0573468;0,0446718;0,0943120;0,8130080;0,9285234
262144;0,1679078;0,1118140;0,0908636;0,7606986;1,0631700;0,9183564
524288;0,3523530;0,2257632;0,2084234;1,7750132;1,6726876;1,4083670
1048576;0,7367444;0,5409488;0,5822036;1,7262442;1,8682294;2,2233822
2097152;1,5324256;1,0968968;1,0117700;3,0473418;2,9372664;2,2364024
4194304;3,8114584;2,7043740;3,7077718;3,5591794;3,7709576;3,0344234
8388608;11,5315822;8,4232204;6,4118696;5,8223414;5,1182466;3,9371078
16777216;24,6652408;16,3173434;13,0906538;9,4183872;9,5466594;7,0123894
33554432;22,1231108;22,1582760;22,2209294;18,6163780;14,0117498;12,2258122
67108864;29,8982306;29,8874570;29,9026656;29,8987450;19,9604532;15,9953118
134217728;46,7268902;46,7285136;46,7535176;46,7384736;46,7872268;19,8351290
