32;1.4e-05;4.2e-05;0.000105;0.000226;0.410302;1.512279
64;2.5e-05;5.4e-05;0.000102;0.000177;0.329505;1.285631
128;5.1e-05;8.5e-05;0.002425;0.000223;0.242321;3.659232
256;0.000104;0.000123;0.000178;0.000289;0.684939;1.553897
512;0.000213;0.000241;0.000252;0.000306;0.349484;1.999996
1024;0.000441;0.000418;0.000485;0.000503;0.303256;2.061919
2048;0.000941;0.000928;0.001046;0.000716;0.617265;0.883907
4096;0.002037;0.001505;0.001547;0.001301;0.494185;0.7209
8192;0.004028;0.002966;0.002691;0.003041;0.300767;1.059722
16384;0.011645;0.006096;0.007271;0.012939;1.221046;0.790068
32768;0.017107;0.01125;0.01255;0.010565;0.594674;0.777924
65536;0.037119;0.02664;0.022482;0.018737;0.635053;1.089802
131072;0.077743;0.060858;0.043262;0.038875;1.017787;0.808172
262144;0.158163;0.109481;0.084137;0.090963;1.675647;1.159989
524288;0.34751;0.224872;0.205526;3.744119;2.775039;1.567552
1048576;0.825937;0.632227;0.450063;2.22607;1.430436;1.283827
2097152;1.484814;1.174539;1.00686;2.922666;3.107483;1.938526
4194304;4.061736;2.779326;3.745487;3.80231;3.829978;1.988851
8388608;13.093147;6.801975;8.12735;6.041832;4.744778;5.239733
16777216;21.157541;13.38947;10.195797;7.602969;9.752582;4.989123
33554432;19.591195;20.124936;20.129684;19.485845;16.042818;17.467618
67108864;25.975028;25.97438;25.972849;25.980234;21.906628;14.706562
134217728;40.631363;40.740932;40.733669;40.667127;40.823189;19.24714
